customer_id,signup_date,acquisition_channel,country,region,age_group
188,2025-10-23,Direct,CH,,25-34
189,2025-04-11,Email,NL,,25-34
190,2025-11-09,Organic,DE,BE,35-44
191,2025-05-29,Paid Social,DE,HH,45-54
192,2025-04-27,Paid Social,DE,BW,35-44
193,2025-03-16,Organic,NL,,35-44
194,2025-01-17,Organic,DE,RP,25-34
195,2025-06-01,Organic,DE,HE,55+
196,2025-06-26,Paid Social,AT,,25-34
197,2025-02-18,Organic,DE,HE,35-44
198,2025-03-04,Organic,NL,,35-44
199,2025-05-21,Paid Search,DE,BW,45-54
200,2025-02-01,Paid Search,DE,NRW,35-44
201,2025-01-19,Organic,DE,BW,35-44
202,2025-04-23,Email,DE,BE,18-24
203,2025-09-21,Direct,CH,,25-34
204,2025-06-11,Direct,DE,NI,45-54
205,2025-01-08,Paid Social,DE,NI,25-34
206,2025-09-12,Paid Social,DE,BE,35-44
207,2025-02-20,Paid Search,DE,SH,25-34
208,2025-03-19,Direct,DE,RP,55+
209,2025-07-01,Direct,DE,NI,18-24
210,2025-09-20,Email,AT,,25-34
211,2025-02-05,Direct,DE,BY,45-54
212,2025-01-11,Paid Social,DE,BY,18-24
213,2025-01-20,Email,DE,BE,25-34
214,2025-02-22,Direct,DE,HE,45-54
215,2025-03-22,Organic,CH,,45-54
216,2025-05-08,Paid Search,DE,BY,25-34
217,2025-02-09,Paid Social,DE,SN,25-34
218,2025-08-23,Organic,DE,ST,25-34
219,2025-08-03,Direct,DE,BE,18-24
220,2025-02-10,Organic,DE,NRW,35-44
221,2025-03-17,Paid Search,DE,ST,25-34
222,2025-10-14,Organic,CH,,35-44
223,2025-11-05,Organic,DE,NRW,25-34
224,2025-05-02,Paid Search,DE,BY,45-54
225,2025-11-03,Paid Social,DE,BW,25-34
226,2025-10-23,Referral,DE,HE,25-34
227,2025-08-15,Paid Social,NL,,55+
228,2025-03-10,Paid Search,DE,ST,25-34
229,2025-08-15,Email,CH,,55+
230,2025-07-20,Paid Search,AT,,18-24
231,2025-01-17,Organic,DE,RP,35-44
232,2025-10-18,Email,CH,,35-44
233,2025-04-12,Paid Social,DE,BW,45-54
234,2025-11-01,Referral,DE,ST,35-44
235,2025-01-12,Referral,DE,SH,35-44
236,2025-03-22,Organic,DE,BE,55+
237,2025-03-30,Direct,DE,RP,55+
238,2025-02-16,Direct,DE,NI,35-44
239,2025-03-27,Paid Search,NL,,35-44
240,2025-05-17,Direct,DE,SH,55+
241,2025-03-23,Paid Search,AT,,35-44
242,2025-04-13,Paid Social,DE,SH,25-34
243,2025-04-08,Organic,CH,,35-44
244,2025-02-08,Organic,DE,NRW,35-44
245,2025-07-29,Email,DE,ST,25-34
246,2025-08-15,Paid Search,CH,,45-54
247,2025-05-21,Paid Search,DE,BW,18-24
248,2025-01-29,Organic,AT,,35-44
249,2025-07-04,Email,DE,SN,25-34
250,2025-03-06,Organic,DE,BW,25-34
251,2025-05-26,Paid Social,DE,SN,55+
252,2025-03-14,Organic,DE,SN,25-34
253,2025-10-20,Paid Search,AT,,25-34
254,2025-11-15,Organic,NL,,35-44
255,2025-06-02,Paid Search,AT,,25-34
256,2025-03-04,Organic,DE,BW,25-34
257,2025-08-14,Paid Search,DE,SN,45-54
258,2025-09-19,Organic,CH,,25-34
259,2025-01-09,Direct,NL,,25-34
260,2025-06-27,Paid Search,DE,NRW,45-54
261,2025-09-26,Organic,DE,SN,35-44
262,2025-04-08,Paid Social,DE,SH,25-34
263,2025-05-17,Email,DE,BY,45-54
264,2025-02-09,Referral,NL,,25-34
265,2025-05-04,Referral,DE,SH,18-24
266,2025-02-06,Direct,DE,HH,18-24
267,2025-10-28,Email,DE,BW,25-34
268,2025-02-09,Email,DE,NRW,45-54
269,2025-06-17,Email,DE,RP,35-44
270,2025-02-14,Paid Search,DE,ST,35-44
271,2025-07-07,Direct,DE,RP,35-44
272,2025-01-31,Paid Search,CH,,25-34
273,2025-06-07,Paid Search,NL,,35-44
274,2025-03-18,Paid Search,DE,NI,18-24
275,2025-06-04,Organic,NL,,25-34
276,2025-07-07,Paid Search,DE,BW,25-34
277,2025-03-15,Paid Social,DE,BY,35-44
278,2025-08-10,Email,AT,,25-34
279,2025-08-30,Paid Search,NL,,45-54
280,2025-07-12,Paid Search,DE,SH,45-54
281,2025-07-11,Organic,DE,HE,35-44
282,2025-01-07,Paid Social,DE,NRW,35-44
283,2025-02-27,Paid Social,DE,BY,55+
284,2025-04-09,Organic,DE,NI,45-54
285,2025-03-16,Email,DE,BY,25-34
286,2025-01-27,Direct,CH,,18-24
287,2025-01-21,Email,NL,,55+
288,2025-05-27,Paid Social,DE,BW,25-34
289,2025-01-15,Paid Search,AT,,45-54
290,2025-10-07,Direct,DE,RP,25-34
291,2025-05-25,Email,DE,SH,45-54
292,2025-07-18,Direct,DE,HH,55+
293,2025-02-15,Paid Search,DE,NI,35-44
294,2025-08-16,Paid Search,DE,SN,35-44
295,2025-04-27,Paid Social,DE,SH,35-44
296,2025-03-13,Organic,DE,BY,35-44
297,2025-02-01,Email,DE,SN,45-54
298,2025-09-24,Paid Search,DE,SH,18-24
299,2025-02-15,Organic,DE,BE,35-44
300,2025-07-21,Direct,AT,,18-24
301,2025-08-13,Email,DE,NRW,25-34
302,2025-04-13,Paid Search,DE,NI,35-44
303,2025-05-23,Organic,DE,NI,55+
304,2025-11-13,Paid Search,AT,,55+
305,2025-08-11,Direct,DE,BY,55+
306,2025-11-14,Organic,AT,,35-44
307,2025-03-25,Email,DE,BE,35-44
308,2025-01-03,Organic,DE,ST,45-54
309,2025-01-12,Email,DE,SN,25-34
310,2025-02-24,Email,DE,SH,25-34
311,2025-10-15,Paid Search,DE,BY,35-44
312,2025-02-06,Direct,NL,,35-44
313,2025-07-21,Paid Search,DE,BE,25-34
314,2025-11-01,Referral,CH,,45-54
315,2025-10-20,Organic,DE,HE,35-44
316,2025-04-06,Referral,DE,ST,35-44
317,2025-03-07,Organic,DE,HE,25-34
318,2025-07-05,Paid Search,NL,,35-44
319,2025-02-09,Paid Social,CH,,45-54
320,2025-04-10,Paid Search,NL,,25-34
321,2025-01-02,Paid Search,DE,HH,25-34
322,2025-11-12,Organic,DE,SH,35-44
323,2025-08-19,Paid Social,DE,RP,25-34
324,2025-06-12,Email,DE,NRW,25-34
325,2025-10-28,Direct,DE,RP,35-44
326,2025-03-21,Organic,DE,ST,25-34
327,2025-05-13,Direct,DE,RP,25-34
328,2025-10-11,Paid Social,DE,HH,35-44
329,2025-11-01,Email,CH,,35-44
330,2025-07-26,Paid Search,DE,RP,25-34
331,2025-05-10,Direct,DE,HH,18-24
332,2025-04-29,Direct,DE,HH,25-34
333,2025-06-28,Paid Social,DE,ST,35-44
334,2025-09-08,Paid Social,DE,BY,55+
335,2025-02-08,Organic,DE,RP,35-44
336,2025-05-31,Referral,DE,HE,25-34
337,2025-01-08,Paid Search,NL,,35-44
338,2025-01-05,Paid Social,NL,,35-44
339,2025-04-29,Referral,NL,,35-44
340,2025-05-25,Email,CH,,45-54
341,2025-10-29,Organic,NL,,55+
342,2025-05-22,Organic,DE,HH,25-34
343,2025-07-11,Email,DE,SN,55+
344,2025-09-26,Organic,AT,,45-54
345,2025-04-08,Organic,DE,HE,45-54
346,2025-03-23,Paid Social,CH,,45-54
347,2025-05-09,Organic,DE,BE,25-34
348,2025-03-06,Organic,DE,NI,25-34
349,2025-04-03,Organic,DE,NRW,35-44
350,2025-04-12,Paid Search,DE,BW,35-44
351,2025-09-22,Direct,DE,ST,45-54
352,2025-04-27,Paid Search,CH,,25-34
353,2025-10-31,Organic,DE,HE,45-54
354,2025-10-29,Direct,AT,,18-24
355,2025-04-17,Direct,DE,HH,25-34
356,2025-07-22,Direct,DE,HE,25-34
357,2025-10-17,Paid Social,DE,HE,25-34
358,2025-01-27,Organic,NL,,35-44
359,2025-04-16,Paid Social,DE,BY,55+
360,2025-03-31,Paid Search,DE,RP,45-54
361,2025-02-08,Paid Social,DE,NI,45-54
362,2025-10-25,Organic,NL,,18-24
363,2025-11-06,Organic,DE,SH,18-24
364,2025-05-21,Organic,DE,BE,35-44
365,2025-01-26,Paid Search,DE,ST,25-34
366,2025-06-19,Paid Social,NL,,25-34
367,2025-10-20,Email,DE,SH,25-34
368,2025-07-21,Email,CH,,25-34
369,2025-08-30,Referral,DE,NRW,45-54
370,2025-04-29,Paid Search,DE,BE,35-44
371,2025-06-09,Paid Social,DE,SN,35-44
372,2025-09-11,Organic,DE,BW,35-44
373,2025-02-11,Referral,DE,NI,18-24
374,2025-10-07,Organic,DE,BW,25-34
375,2025-10-15,Paid Search,DE,HE,45-54
376,2025-03-14,Paid Social,DE,RP,35-44
377,2025-09-26,Organic,DE,BY,18-24
378,2025-06-09,Organic,DE,BE,35-44
379,2025-10-27,Paid Search,DE,BW,18-24
380,2025-06-21,Direct,DE,NRW,35-44
381,2025-04-26,Direct,DE,ST,25-34
382,2025-10-14,Paid Search,AT,,25-34
383,2025-06-07,Paid Social,DE,NRW,55+
384,2025-01-03,Paid Social,NL,,25-34
385,2025-04-14,Direct,DE,HE,35-44
386,2025-05-01,Organic,DE,HE,18-24
387,2025-08-19,Organic,CH,,35-44
388,2025-08-14,Paid Social,DE,HE,25-34
389,2025-03-07,Direct,DE,BY,35-44
390,2025-06-29,Organic,DE,ST,35-44
391,2025-05-23,Email,NL,,25-34
392,2025-08-27,Email,DE,BE,25-34
393,2025-08-04,Paid Search,DE,BE,25-34
394,2025-01-14,Paid Search,DE,HH,25-34
395,2025-07-25,Organic,NL,,45-54
396,2025-10-08,Direct,DE,NRW,35-44
397,2025-04-20,Email,CH,,25-34
398,2025-01-25,Paid Search,DE,BY,18-24
399,2025-01-25,Organic,DE,HE,18-24
400,2025-06-09,Organic,DE,BY,25-34
